,000001.SH,T.CFE,S0147027
000001.SH,1.0,-0.3046291003748604,0.06624068429020633
T.CFE,-0.3046291003748604,1.0,0.04298852533964509
S0147027,0.06624068429020633,0.04298852533964509,1.0
