date,000001.SH,T.CFE,S0147027
2023-04-18,3393.3312,100.69,443.38
2023-04-19,3370.1283,100.735,443.12
2023-04-20,3367.031,100.72,443.02
2023-04-21,3301.2575,100.9,441.64
2023-04-24,3275.413,100.96,440.66
2023-04-25,3264.8717,100.955,444.0
2023-04-26,3264.1006,101.09,445.14
2023-04-27,3285.8844,101.3,446.5
2023-04-28,3323.2746,101.255,450.7
2023-05-04,3350.4587,101.385,457.04
2023-05-05,3334.5028,101.68,458.94
2023-05-08,3395.0036,101.48,452.48
2023-05-09,3357.6707,101.545,450.1
2023-05-10,3319.1506,101.705,456.5
2023-05-11,3309.5512,101.835,455.0
2023-05-12,3272.3619,101.755,453.5
2023-05-15,3310.7367,101.7,453.5
2023-05-16,3290.9874,101.71,450.96
2023-05-17,3284.232,101.63,449.06
2023-05-18,3297.3199,101.63,448.2
2023-05-19,3283.5417,101.305,446.48
2023-05-22,3296.4696,101.36,448.44
2023-05-23,3246.238,101.58,446.52
2023-05-24,3204.7494,101.575,448.78
2023-05-25,3201.2605,101.47,446.8
2023-05-26,3212.5038,101.36,444.46
2023-05-29,3221.4484,101.49,444.5
2023-05-30,3224.2133,101.43,443.68
2023-05-31,3204.5644,101.52,449.98
2023-06-01,3204.6345,101.65,449.94
2023-06-02,3230.0686,101.295,451.2
2023-06-05,3232.441,101.47,446.08
2023-06-06,3195.3404,101.62,448.96
2023-06-07,3197.7587,101.7,449.52
2023-06-08,3213.5855,101.625,447.4
2023-06-09,3231.4055,101.89,450.98
2023-06-12,3228.8336,101.88,451.22
2023-06-13,3233.6734,102.145,452.44
2023-06-14,3228.9887,102.195,451.0
2023-06-15,3252.9751,101.845,449.76
2023-06-16,3273.3341,101.585,449.36
2023-06-19,3255.8057,101.445,450.2
2023-06-20,3240.3648,101.58,450.3
2023-06-21,3197.9011,101.67,448.74
2023-06-26,3150.6189,101.725,448.9
2023-06-27,3189.4427,101.635,448.68
2023-06-28,3189.3758,101.77,447.2
2023-06-29,3182.3812,101.81,450.28
2023-06-30,3202.0623,101.99,447.28
2023-07-03,3243.975,101.88,450.9
2023-07-04,3245.3492,101.745,448.9
2023-07-05,3222.9469,101.915,449.1
2023-07-06,3205.5748,101.855,449.1
2023-07-07,3196.6092,101.935,449.1
2023-07-10,3203.6958,101.975,450.2
2023-07-11,3221.3666,102.045,450.2
2023-07-12,3196.1337,102.05,450.2
2023-07-13,3236.48,102.0,451.0
2023-07-14,3237.7012,101.965,451.0
2023-07-17,3209.6298,102.145,451.0
2023-07-18,3197.8201,102.225,456.1
2023-07-19,3198.8358,102.175,461.48
2023-07-20,3169.522,102.27,461.04
2023-07-21,3167.7452,102.355,458.26
2023-07-24,3164.1608,102.425,458.06
2023-07-25,3231.5213,101.85,455.84
2023-07-26,3223.0279,102.07,457.6
2023-07-27,3216.6709,102.175,458.7
2023-07-28,3275.9257,102.06,455.26
2023-07-31,3291.0398,101.99,455.0
2023-08-01,3290.9493,102.01,456.62
2023-08-02,3261.6903,102.09,456.2
2023-08-03,3280.4626,102.22,454.22
2023-08-04,3288.0842,102.25,453.56
2023-08-07,3268.8311,102.31,454.44
2023-08-08,3260.6196,102.35,454.56
2023-08-09,3244.4867,102.335,454.26
2023-08-10,3254.5597,102.3,453.32
2023-08-11,3189.248,102.36,456.0
2023-08-14,3178.4272,102.45,455.14
2023-08-15,3176.1758,102.705,455.5
2023-08-16,3150.1277,102.815,457.14
2023-08-17,3163.7393,102.72,457.0
2023-08-18,3131.953,102.82,455.94
2023-08-21,3092.9777,103.055,458.1
2023-08-22,3120.3338,102.665,457.24
2023-08-23,3078.4021,102.65,458.2
2023-08-24,3082.2439,102.665,460.3
2023-08-25,3064.0747,102.5,457.88
2023-08-28,3098.6363,102.445,459.16
2023-08-29,3135.8867,102.295,460.18
2023-08-30,3137.1375,102.405,462.4
2023-08-31,3119.8764,102.415,467.14
2023-09-01,3133.2467,102.11,464.88
2023-09-04,3177.0603,101.945,462.1
2023-09-05,3154.3693,101.905,463.26
2023-09-06,3158.0769,101.68,466.8
2023-09-07,3122.3523,101.59,465.2
2023-09-08,3116.7191,101.685,465.36
2023-09-11,3142.779,101.745,474.3
2023-09-12,3137.0593,101.79,470.04
2023-09-13,3123.0669,101.935,470.04
2023-09-14,3126.5511,102.07,470.04
2023-09-15,3117.7434,101.81,470.04
2023-09-18,3125.9319,101.71,467.14
2023-09-19,3124.9567,101.74,469.7
2023-09-20,3108.5679,101.72,470.82
2023-09-21,3084.701,101.87,470.68
2023-09-22,3132.4316,101.615,470.1
2023-09-25,3115.6071,101.56,471.2
2023-09-26,3102.2726,101.6,470.68
2023-09-27,3107.3156,101.62,467.32
2023-09-28,3110.4753,101.785,459.3
2023-10-09,3096.9224,101.8,455.08
2023-10-10,3075.2361,101.7,450.88
2023-10-11,3078.9556,101.49,450.68
2023-10-12,3107.9007,101.565,453.7
2023-10-13,3088.0991,101.66,453.52
2023-10-16,3073.813,101.755,458.0
2023-10-17,3083.4964,101.605,463.5
2023-10-18,3058.7098,101.55,467.46
2023-10-19,3005.3934,101.25,470.48
2023-10-20,2983.0585,101.47,475.46
2023-10-23,2939.2913,101.59,475.36
2023-10-24,2962.2437,101.48,472.44
2023-10-25,2974.1135,101.715,472.44
2023-10-26,2988.2992,101.67,475.76
2023-10-27,3017.7842,101.685,475.8
2023-10-30,3021.5534,101.725,476.0
