date,corr_1M,corr_6M,corr_1Y
2020-11-04,-0.06880685507091812,,
2020-11-05,-0.11836397515754861,,
2020-11-06,-0.13103501270907902,,
2020-11-09,-0.06946741807179649,,
2020-11-10,-0.24223118967164475,,
2020-11-11,-0.22030449599888072,,
2020-11-12,-0.22881495089037632,,
2020-11-13,-0.15045564869959996,,
2020-11-16,-0.14693913900903083,,
2020-11-17,-0.04952743846675848,,
2020-11-18,-0.04801294642707431,,
2020-11-19,-0.05661619676828139,,
2020-11-20,-0.0072875750318828585,,
2020-11-23,0.04642674753445634,,
2020-11-24,0.08920590323234386,,
2020-11-25,-0.06426258314282841,,
2020-11-26,-0.05638334347182404,,
2020-11-27,-0.07631887315620627,,
2020-11-30,-0.11899985231377497,,
2020-12-01,-0.20182843548910898,,
2020-12-02,-0.20765169327193173,,
2020-12-03,-0.2344781084080131,,
2020-12-04,-0.20818083275660362,,
2020-12-07,-0.19013187040146448,,
2020-12-08,-0.14405370714996915,,
2020-12-09,-0.1214465942403487,,
2020-12-10,-0.12218962688419308,,
2020-12-11,-0.02804035210976078,,
2020-12-14,-0.07554141271985663,,
2020-12-15,-0.07044907588264952,,
2020-12-16,-0.07739407238630519,,
2020-12-17,-0.12958490733328532,,
2020-12-18,-0.09816567012020767,,
2020-12-21,-0.0422403339719537,,
2020-12-22,-0.25960536331256845,,
2020-12-23,-0.2587970651526219,,
2020-12-24,-0.18163466549544324,,
2020-12-25,-0.12923687920194343,,
2020-12-28,-0.08456706184203452,,
2020-12-29,-0.04325022943452649,,
2020-12-30,0.17607891012038515,,
2020-12-31,0.013026412896426965,,
2021-01-04,-0.04329306967166576,,
2021-01-05,0.053578343706008176,,
2021-01-06,0.0026281442392735244,,
2021-01-07,0.03342024017699285,,
2021-01-08,0.052625443551581066,,
2021-01-11,0.10318304024107801,,
2021-01-12,0.014595725645437959,,
2021-01-13,0.007238939275165792,,
2021-01-14,-0.05861574577708744,,
2021-01-15,-0.006922167231762049,,
2021-01-18,0.0037848317836951775,,
2021-01-19,-0.03038680888858766,,
2021-01-20,-0.0468103348401834,,
2021-01-21,0.1837213254096058,,
2021-01-22,0.15851717221031036,,
2021-01-25,0.12659919222591465,,
2021-01-26,0.31530055764815834,,
2021-01-27,0.3134261691674985,,
2021-01-28,0.4493048591180609,,
2021-01-29,0.40933969244656726,,
2021-02-01,0.5121263811437728,,
2021-02-02,0.5275278797230926,,
2021-02-03,0.46977786303741037,,
2021-02-04,0.464086879383976,,
2021-02-05,0.46274966903096554,,
2021-02-08,0.4684648451788419,,
2021-02-09,0.4659812316170035,,
2021-02-10,0.33724311803062496,,
2021-02-18,0.378352927235226,,
2021-02-19,0.5210244405960781,,
2021-02-22,0.45695373533101324,,
2021-02-23,0.45776264123485494,,
2021-02-24,0.3966028545129465,,
2021-02-25,0.3836913688011675,,
2021-02-26,0.3653328979758213,,
2021-03-01,0.4319643870389857,,
2021-03-02,0.3950250718278782,,
2021-03-03,0.3213273206213581,,
2021-03-04,0.32470818978685984,,
2021-03-05,0.20399416044074462,,
2021-03-08,0.12159229878868531,,
2021-03-09,0.1150854662972366,,
2021-03-10,0.1442932444918125,,
2021-03-11,0.06856094568617893,,
2021-03-12,0.06622702032373132,,
2021-03-15,0.09535936338327597,,
2021-03-16,0.09452603100174212,,
2021-03-17,0.08511344071726382,,
2021-03-18,0.142444667102246,,
2021-03-19,0.05239370358875265,,
2021-03-22,0.07575729640525507,,
2021-03-23,0.03035650841722461,,
2021-03-24,-0.01676686444303953,,
2021-03-25,-0.0052581149314822415,,
2021-03-26,-0.058973472871378385,,
2021-03-29,-0.1621894900647101,,
2021-03-30,-0.3278657221477151,,
2021-03-31,-0.33410118923540316,,
2021-04-01,-0.3405279440656402,,
2021-04-02,-0.46841306204059985,,
2021-04-06,-0.49895194711164714,,
2021-04-07,-0.4367242365011548,,
2021-04-08,-0.5242902113414085,,
2021-04-09,-0.5639872998248913,0.01509121827651888,
2021-04-12,-0.542246160090482,-0.0005771101699895651,
